id,name,id_bioguide,id_govtrack,id_icpsr,id_wikipedia,id_wikidata,id_google_entity_id,name_first,name_last,bio_birthday,bio_gender,id_house_history,name_middle,name_nickname,id_ballotpedia,name_suffix,id_bioguide_previous,id_house_history_alternate,other_names,id_thomas,id_cspan,id_votesmart,id_lis,name_official_full,id_opensecrets,id_fec,id_maplight,leadership_roles,family
A000296,Samuel Arnold,A000296,400938,248,Samuel W. Arnold,Q183164,kg:/m/02rz87g,Samuel,Arnold,1879-09-21,M,8671,Washington,Wat,,,,,,,,,,,,,,,
A000297,Thomas Arnold,A000297,400939,249,Thomas Dickens Arnold,Q1641461,kg:/m/0cglkp,Thomas,Arnold,1798-05-03,M,8672,Dickens,,,,,,,,,,,,,,,,
A000298,Warren Arnold,A000298,400940,250,Warren O. Arnold,Q651957,kg:/m/02rj_4s,Warren,Arnold,1839-06-03,M,8674,Otis,,,,,,,,,,,,,,,,
A000299,William Arnold,A000299,400941,251,William Carlile Arnold,Q8006555,kg:/m/0ksf7z,William,Arnold,1851-07-15,M,8676,Carlile,,,,,,,,,,,,,,,,
A000300,William Arnold,A000300,400942,252,William W. Arnold,Q8019755,kg:/m/02rkdnk,William,Arnold,1877-10-14,M,8678,Wright,,,,,,,,,,,,,,,,
A000301,John Arnot,A000301,400943,253,John Arnot Jr.,Q6219444,kg:/m/02rkr_p,John,Arnot,1831-03-11,M,8679,,,,Jr.,,,,,,,,,,,,,
A000302,Archibald Arrington,A000302,400944,254,Archibald Hunter Arrington,Q633206,kg:/m/04gw49,Archibald,Arrington,1809-11-13,M,8680,Hunter,,,,,,,,,,,,,,,,
A000304,William Arthur,A000304,400946,256,William Evans Arthur,Q1456742,kg:/m/02rj_dp,William,Arthur,1825-03-03,M,8682,Evans,,,,,,,,,,,,,,,,
A000305,Michael Ash,A000305,400947,257,Michael Woolston Ash,Q6835447,kg:/m/0273xf0,Michael,Ash,1789-03-05,M,8683,Woolston,,,,,,,,,,,,,,,,
A000306,William Ashbrook,A000306,400950,258,William A. Ashbrook,Q8003893,kg:/m/06gn_h,William,Ashbrook,1867-07-01,M,8685,Albert,,,,,,,,,,,,,,,,
A000307,John Ashe,A000307,400951,259,John Baptista Ashe (Continental Congress),Q1699261,kg:/m/02__xr,John,Ashe,,M,8686,Baptista,,,,,,,,,,,,,,,,
A000308,John Ashe,A000308,400952,260,John Baptista Ashe (representative),Q1559137,kg:/m/02__tj,John,Ashe,,M,8687,Baptista,,,,,,,,,,,,,,,,
A000309,Thomas Ashe,A000309,400953,261,Thomas Samuel Ashe,Q2427027,kg:/m/04gw5c,Thomas,Ashe,1812-07-19,M,8689,Samuel,,,,,,,,,,,,,,,,
A000310,William Ashe,A000310,400954,262,William Shepperd Ashe,Q2580544,kg:/m/04wkcd,William,Ashe,1814-09-14,M,8690,Shepperd,,,,,,,,,,,,,,,,
A000311,Chester Ashley,A000311,400955,263,Chester Ashley,Q1070668,kg:/m/09s913,Chester,Ashley,1790-06-01,M,,,,,,,,,,,,,,,,,,
A000312,Delos Ashley,A000312,400956,264,Delos R. Ashley,Q1184601,kg:/m/09w_7c,Delos,Ashley,1828-02-19,M,8692,Rodeyn,,,,,,,,,,,,,,,,
A000313,Henry Ashley,A000313,400957,265,Henry Ashley,Q2039944,kg:/m/02rlcff,Henry,Ashley,1778-02-19,M,8693,,,,,,,,,,,,,,,,,
A000314,James Ashley,A000314,400958,266,James Mitchell Ashley,Q1680840,kg:/m/0b75yq,James,Ashley,1824-11-14,M,8695,Mitchell,,,,,,,,,,,,,,,,
A000315,William Ashley,A000315,400960,268,William Henry Ashley,Q1345876,kg:/m/05m0q2,William,Ashley,,M,8696,Henry,,,,,,,,,,,,,,,,
A000316,John Ashmore,A000316,400961,269,John D. Ashmore,Q1699717,kg:/m/02rtqq6,John,Ashmore,1819-08-18,M,8698,Durant,,,,,,,,,,,,,,,,
A000317,Eli Ashmun,A000317,400963,271,Eli P. Ashmun,Q1328837,kg:/m/0b4g10,Eli,Ashmun,1770-06-24,M,,Porter,,,,,,,,,,,,,,,,
A000318,George Ashmun,A000318,400964,272,George Ashmun,Q1506885,kg:/m/0289jyh,George,Ashmun,1804-12-25,M,8699,,,,,,,,,,,,,,,,,
A000319,Henry Ashurst,A000319,400965,273,Henry F. Ashurst,Q539092,kg:/m/07s4f1,Henry,Ashurst,1874-09-13,M,,Fountain,,,,,,,,,,,,,,,,
A000320,Joel Asper,A000320,400966,274,Joel Funk Asper,Q1691715,kg:/m/02rz72p,Joel,Asper,1822-04-20,M,8701,Funk,,,,,,,,,,,,,,,,
A000321,James Aswell,A000321,400969,276,James Benjamin Aswell,Q1680029,kg:/m/0ds83b,James,Aswell,1869-12-23,M,8703,Benjamin,,,,,,,,,,,,,,,,
