id,legislator_id,twitter,facebook,youtube_id,twitter_id,youtube,instagram,instagram_id
K000375,K000375,USRepKeating,Congressman.Keating,UC7KPV4xdxO2dms9vl6tETmg,232992031,RepBillKeating,,
K000376,K000376,MikeKellyPA,191056827594903,UCoz6u3ooQxoijsWvhoQ0D-A,935368364,repmikekelly,,
K000377,K000377,SenMarkKelly,SenMarkKelly,,1324926274888888320,,,
K000378,K000378,RepKinzinger,RepKinzinger,UCjDHxyjndxxhjuPWyEBc7UA,219429281,RepAdamKinzinger,,
K000380,K000380,RepDanKildee,RepDanKildee,UC_KpQ-n3IT5dL5ul21XA9Yw,1045110018,RepDanKildee,repdankildee,582887115
K000381,K000381,RepDerekKilmer,derek.kilmer,,1058917562,,,
K000382,K000382,RepAnnieKuster,CongresswomanAnnieKuster,UCYAD_Eti2b5gXSicbgPsBYA,1058717720,RepKuster,,
K000383,K000383,SenAngusKing,SenatorAngusSKingJr,UCpp6lGvrmt0XU_lnD4Ak0gA,1068481578,SenatorAngusKing,,
K000384,K000384,,SenatorKaine,UC27LgTZlUnBQoNEQFZdn9LA,,SenatorTimKaine,,
K000385,K000385,RepRobinKelly,reprobinkelly,UCLhcNPX2nNQLNzwKW0nEykg,1339931490,,reprobinkelly,
K000386,K000386,RepJohnKatko,RepJohnKatko,,2966765501,,,
K000388,K000388,RepTrentKelly,reptrentkelly,UCtDrz-8tdg4ZgOAQHToSWaQ,3317799825,,reptrentkelly,
K000389,K000389,RepRoKhanna,RepRoKhanna,UCr4KOYv1o1oEQhy1jhhm3pQ,816298918468259841,,reprokhanna,
K000391,K000391,CongressmanRaja,congressmanraja,,814179031956488192,,congressmanraja,
K000392,K000392,RepDavidKustoff,RepDavidKustoff,UCK6U4plOKKMrCjv_h59spGQ,816012124505931780,,repdavidkustoff,
K000393,K000393,SenJohnKennedy,JohnKennedyLouisiana,,816683274076614656,,SenJohnKennedy,
K000394,K000394,RepAndyKimNJ,,,1078771848882593793,,,
K000395,K000395,RepFredKeller,CongressmanFredKeller,UC_IluBx9m7HWoNhEYSoPQNQ,1136060761422405633,,repfredkeller,
K000396,K000396,RepKahele,,,1351966874377056257,,,
K000397,K000397,RepYoungKim,,,1344677401465397249,,,
L000174,L000174,SenatorLeahy,SenatorPatrickLeahy,UC46QHVobf7FO-tWehsRoDog,242836537,SenatorPatrickLeahy,senatorleahy,
L000266,L000266,RepLaTurner,,,1345850704800468993,,,
L000273,L000273,RepTeresaLF,,,1345147845926670337,,,
L000397,L000397,RepZoeLofgren,zoelofgren,UCOaQ79adORFcaTuJZoIFuZQ,267938462,RepZoeLofgren,,
L000491,L000491,RepFrankLucas,RepFrankLucas,UCdYZbKY8pkWAThqwC3fdVMg,242772524,RepFrankLucas,,
L000551,L000551,RepBarbaraLee,RepBarbaraLee,UCnRgK2MXAQOUau0JXqseeNA,248735463,RepLee,repbarbaralee,1415801245
L000557,L000557,RepJohnLarson,RepJohnLarson,UCGPsvFF-9WfpdRSCcCrPLiQ,50452197,RepJohnLarson,RepJohnBLarson,
L000559,L000559,JimLangevin,CongressmanJimLangevin,UCQ1sth-7umw1k-fSVqdfRTg,18909919,jimlangevin,,
L000560,L000560,RepRickLarsen,RepRickLarsen,UCMv7LsJtiyO4AJcbRux5CxQ,404132211,congressmanlarsen,repricklarsen,
L000562,L000562,RepStephenLynch,repstephenlynch,UCxL4zG0YWqC5XTO4af_FOgw,310310133,RepLynch,repstephenlynch,
L000564,L000564,RepDLamborn,CongressmanDougLamborn,UCaYsGYMniq4nwBBMKFIwsow,584012853,CongressmanLamborn,douglamborn,
L000566,L000566,BobLatta,boblatta,UCVSBVHoWu-eWnBBQaMKZ_sQ,15394954,CongressmanBobLatta,boblatta,26367713
L000569,L000569,RepBlaine,BlaineLuetkemeyer,UCifiiQclKbBBrkSbCnN6REg,1849261916,BLuetkemeyer,,
L000570,L000570,SenatorLujan,,,19318314,,,
L000571,L000571,SenLummis,,,22831059,,,
L000575,L000575,SenatorLankford,SenatorLankford,UCz8T6sK5fEycyWmVz6Vpe5Q,225921757,SenatorLankford,senatorlankford,1552251018
L000576,L000576,USRepLong,Rep.Billy.Long,UCLQcbyxpHXXAsUJckscQY8g,1444015610,MOdistrict7,,
